===== 分析文件: ds-7e2d1404-1-744dcfb874-xrz4p_1961061.1756354031421141362.pt.trace.json =====
[aten::copy_] 总耗时: 48094763.89 ms | 出现次数: 13286 | 平均耗时: 3619.96 ms
[aten::to] 总耗时: 48003130.88 ms | 出现次数: 7195 | 平均耗时: 6671.73 ms
[aten::_to_copy] 总耗时: 47995326.24 ms | 出现次数: 4192 | 平均耗时: 11449.27 ms
[aten::empty] 总耗时: 932905.56 ms | 出现次数: 289951 | 平均耗时: 3.22 ms
[aten::unbind] 总耗时: 621399.15 ms | 出现次数: 94094 | 平均耗时: 6.60 ms
[aten::sort] 总耗时: 610345.75 ms | 出现次数: 2002 | 平均耗时: 304.87 ms
[aten::empty_like] 总耗时: 528785.20 ms | 出现次数: 96378 | 平均耗时: 5.49 ms
[aten::linear] 总耗时: 514806.24 ms | 出现次数: 1001 | 平均耗时: 514.29 ms
[aten::mm] 总耗时: 510660.70 ms | 出现次数: 1095 | 平均耗时: 466.36 ms
[aten::matmul] 总耗时: 506223.03 ms | 出现次数: 1001 | 平均耗时: 505.72 ms
[aten::empty_strided] 总耗时: 449259.76 ms | 出现次数: 99570 | 平均耗时: 4.51 ms
[aten::expand] 总耗时: 434521.85 ms | 出现次数: 282282 | 平均耗时: 1.54 ms
[aten::select] 总耗时: 388911.66 ms | 出现次数: 190190 | 平均耗时: 2.04 ms
[aten::as_strided] 总耗时: 312581.26 ms | 出现次数: 699515 | 平均耗时: 0.45 ms
[aten::slice] 总耗时: 308815.36 ms | 出现次数: 217846 | 平均耗时: 1.42 ms
[aten::index] 总耗时: 74791.02 ms | 出现次数: 1095 | 平均耗时: 68.30 ms
[aten::fill_] 总耗时: 65068.33 ms | 出现次数: 5287 | 平均耗时: 12.31 ms
[aten::reshape] 总耗时: 42902.95 ms | 出现次数: 3097 | 平均耗时: 13.85 ms
[aten::sub] 总耗时: 42767.36 ms | 出现次数: 2002 | 平均耗时: 21.36 ms
[aten::scatter] 总耗时: 35209.64 ms | 出现次数: 1001 | 平均耗时: 35.17 ms
[aten::clone] 总耗时: 30168.71 ms | 出现次数: 1000 | 平均耗时: 30.17 ms
[aten::softmax] 总耗时: 27756.80 ms | 出现次数: 2002 | 平均耗时: 13.86 ms
[aten::div_] 总耗时: 27738.11 ms | 出现次数: 2002 | 平均耗时: 13.86 ms
[aten::argmax] 总耗时: 27391.06 ms | 出现次数: 1001 | 平均耗时: 27.36 ms
[aten::rsub] 总耗时: 23886.62 ms | 出现次数: 1001 | 平均耗时: 23.86 ms
[aten::_softmax] 总耗时: 22149.67 ms | 出现次数: 2002 | 平均耗时: 11.06 ms
[aten::exponential_] 总耗时: 17179.95 ms | 出现次数: 1001 | 平均耗时: 17.16 ms
[aten::le] 总耗时: 15909.17 ms | 出现次数: 1001 | 平均耗时: 15.89 ms
[aten::masked_fill_] 总耗时: 12838.83 ms | 出现次数: 1001 | 平均耗时: 12.83 ms
[aten::cumsum] 总耗时: 11980.17 ms | 出现次数: 1001 | 平均耗时: 11.97 ms
[aten::movedim] 总耗时: 11327.32 ms | 出现次数: 2002 | 平均耗时: 5.66 ms
[aten::unsqueeze] 总耗时: 8554.69 ms | 出现次数: 3003 | 平均耗时: 2.85 ms
[aten::max] 总耗时: 8184.08 ms | 出现次数: 1001 | 平均耗时: 8.18 ms
[aten::view] 总耗时: 7041.96 ms | 出现次数: 4569 | 平均耗时: 1.54 ms
[aten::flatten] 总耗时: 6027.39 ms | 出现次数: 1001 | 平均耗时: 6.02 ms
