time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.moe_gate.min,time_stats.moe_gate.max,time_stats.moe_gate.mean,time_stats.moe_gate.median,time_stats.moe_gate.std,time_stats.moe_linear.min,time_stats.moe_linear.max,time_stats.moe_linear.mean,time_stats.moe_linear.median,time_stats.moe_linear.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,num_experts,top_k,num_tokens,num_tensor_parallel_workers
0.105,1.345,0.16528571428571429,0.106,0.2637941374230586,0.054,1.808,0.14199999999999996,0.054,0.3822068811520798,0.186,1.2,0.2847,0.186,0.2958993240952065,0.038,0.041,0.038500000000000006,0.038,0.0007416198487095671,0.156,0.157,0.15615,0.156,0.0003570714214271428,0.055,1.963,0.3353,0.056,0.6660220041410044,0.018000000000000002,0.965,0.06629999999999997,0.019,0.2061761625406778,0.461,1.867,0.62305,0.464,0.3910105465329548,0.027,0.027,0.027000000000000003,0.027,3.469446951953614e-18,32,4,2048,768,151936,128,8,4096,1
0.108,0.96,0.22309523809523812,0.111,0.27702396402475893,0.056,0.058,0.05669999999999999,0.057,0.0005567764362830027,0.189,0.835,0.27864999999999995,0.192,0.21049970902592716,0.038,0.04,0.038900000000000004,0.039,0.0004358898943540677,0.158,0.709,0.21094999999999997,0.1605,0.15367123185554282,0.056,1.489,0.1286,0.057,0.31209732456398914,0.019,0.02,0.019700000000000002,0.02,0.0004582575694955845,0.47200000000000003,1.486,0.59415,0.4805,0.2972088953917766,0.027,0.027,0.027000000000000003,0.027,3.469446951953614e-18,32,4,2048,768,151936,128,8,4096,1
0.106,1.247,0.2681904761904762,0.107,0.39526104924739824,0.054,0.056,0.05495,0.055,0.0005894913061275802,0.186,1.114,0.2796,0.187,0.27813403243760015,0.037,1.6320000000000001,0.11764999999999999,0.038,0.34741636043801966,0.156,1.069,0.20179999999999998,0.156,0.19894964186949418,0.055,0.056,0.055349999999999996,0.055,0.0004769696007084733,0.019,0.019,0.019000000000000003,0.019,3.469446951953614e-18,0.48,1.717,0.733,0.491,0.43001767405538116,0.027,0.027,0.027000000000000003,0.027,3.469446951953614e-18,32,4,2048,768,151936,128,8,4064,1
0.106,0.776,0.16471428571428573,0.11,0.17248744408607528,0.055,0.059000000000000004,0.05605000000000001,0.056,0.001023474474522937,0.189,0.792,0.24970000000000003,0.1915,0.1769748852238645,0.037,0.039,0.03830000000000001,0.038,0.0005567764362830027,0.157,0.765,0.21270000000000003,0.1595,0.1624318626378458,0.056,0.057,0.05645,0.056,0.0004974937185533104,0.019,0.02,0.019650000000000004,0.02,0.0004769696007084733,0.47600000000000003,1.3940000000000001,0.6648000000000001,0.4915,0.2938456397498524,0.026000000000000002,0.032,0.027200000000000002,0.027,0.0011224972160321822,32,4,2048,768,151936,128,8,4032,1
0.106,0.11,0.10804761904761906,0.108,0.0010454523047666747,0.054,1.393,0.12144999999999999,0.0545,0.2917141537532932,0.188,0.812,0.26630000000000004,0.189,0.1868555859480792,0.037,0.038,0.0374,0.037,0.0004898979485566361,0.156,0.717,0.22644999999999998,0.157,0.16785841504077179,0.054,0.056,0.05515,0.055,0.0004769696007084733,0.019,0.02,0.019150000000000004,0.019,0.00035707142142714284,0.483,1.242,0.5287,0.4915,0.16366432109656645,0.026000000000000002,0.027,0.026200000000000008,0.026000000000000002,0.00039999999999999893,32,4,2048,768,151936,128,8,4000,1
0.10400000000000001,0.106,0.1042857142857143,0.10400000000000001,0.0005471012044321881,0.052000000000000005,0.053,0.05295,0.053,0.0002179449471770324,0.185,1.114,0.4125,0.185,0.39388621453409617,0.036000000000000004,0.038,0.03720000000000001,0.037,0.0006782329983125256,0.153,0.154,0.15355,0.154,0.0004974937185533104,0.054,0.054,0.054000000000000006,0.054,6.938893903907228e-18,0.018000000000000002,0.019,0.018900000000000007,0.019,0.0002999999999999992,0.451,1.737,0.6218,0.454,0.40691136627034646,0.026000000000000002,0.026000000000000002,0.026000000000000006,0.026000000000000002,3.469446951953614e-18,32,4,2048,768,151936,128,8,3968,1
0.10400000000000001,0.775,0.15609523809523806,0.106,0.16024977669159235,0.053,0.056,0.0543,0.054,0.0006403124237432853,0.187,0.642,0.21080000000000002,0.188,0.09892805466600463,0.037,0.038,0.037250000000000005,0.037,0.00043301270189221973,0.155,0.746,0.18555,0.156,0.1285781766086298,0.054,1.437,0.18335,0.055,0.38722968313392503,0.019,0.02,0.019250000000000003,0.019,0.00043301270189221973,0.47900000000000004,1.207,0.5614000000000001,0.4885,0.18473884269422064,0.026000000000000002,0.026000000000000002,0.026000000000000006,0.026000000000000002,3.469446951953614e-18,32,4,2048,768,151936,128,8,3936,1
0.10300000000000001,0.109,0.10561904761904764,0.106,0.0012901159222994322,0.053,0.054,0.0534,0.053,0.000489897948556636,0.186,0.8270000000000001,0.27480000000000004,0.1885,0.20894870183851352,0.036000000000000004,0.037,0.03645000000000001,0.036000000000000004,0.0004974937185533069,0.155,0.158,0.15655000000000002,0.1565,0.0007399324293474377,0.054,1.296,0.11625000000000003,0.054,0.27065344538727015,0.019,0.423,0.03935,0.019,0.08801606387472687,0.466,1.27,0.5601499999999999,0.47800000000000004,0.21235260182065113,0.026000000000000002,0.026000000000000002,0.026000000000000006,0.026000000000000002,3.469446951953614e-18,32,4,2048,768,151936,128,8,3904,1
0.101,1.215,0.155,0.10200000000000001,0.23702380832795203,0.051000000000000004,1.813,0.13930000000000003,0.051000000000000004,0.3839733193856052,0.184,1.1320000000000001,0.27724999999999994,0.184,0.27848552475846927,0.035,0.036000000000000004,0.03565000000000001,0.036000000000000004,0.0004769696007084733,0.152,1.075,0.19875,0.153,0.20102658406290447,0.051000000000000004,1.651,0.13215000000000002,0.052000000000000005,0.34844845745102676,0.018000000000000002,0.019,0.018850000000000006,0.019,0.0003570714214271416,0.466,1.873,0.8466000000000001,0.47150000000000003,0.5285860762449197,0.025,0.028,0.025850000000000005,0.026000000000000002,0.000653834841531101,32,4,2048,768,151936,128,8,3872,1
0.109,0.113,0.11076190476190478,0.111,0.0008676603408708863,0.056,0.057,0.0561,0.056,0.0003000000000000003,0.199,0.202,0.19965000000000002,0.199,0.0009096702699330135,0.037,0.038,0.03755000000000001,0.038,0.0004974937185533104,0.155,0.157,0.15525,0.155,0.0005361902647381809,0.056,0.057,0.056299999999999996,0.056,0.0004582575694955844,0.02,0.021,0.020750000000000005,0.021,0.00043301270189221973,0.486,0.498,0.4902,0.49,0.0027495454169735064,0.025,0.026000000000000002,0.025500000000000005,0.025500000000000002,0.0005000000000000004,32,4,2048,768,151936,128,8,3840,1
